sequence,model_id,name,claude_status,grok_status,synthesis_status,validation_status,bundles,layers,findings,questions,artifacts,functions
65,WM-ECO-020,Sales Order,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
66,WM-KNW-006,Concept / Term,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
67,WM-KNW-007,Claim / Proposition,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
68,WM-KNW-008,Evidence / Citation,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
69,WM-KNW-010,Decision / Rationale,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
70,WM-KNW-011,Goal / Objective,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
71,WM-KNW-012,Policy / Rule,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
72,WM-KNW-014,Issue / Problem,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
73,WM-KNW-015,Risk / Opportunity,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
74,WM-MAT-008,Observation / Measurement Record,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
75,WM-PER-010,Contact Point / Party Profile,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
76,WM-POL-015,Jurisdiction,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
77,WM-SFT-008,Build / Release,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
78,WM-SFT-009,Deployment,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
79,WM-SFT-012,SBOM / Supply-chain Manifest,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
80,WM-SFT-014,Defect / Bug,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
81,WM-SFT-015,Test Case / Test Result,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
82,WM-XCT-024,Contact Point,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
83,WM-XCT-025,Observable Result Fields,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
84,WM-XCT-027,Risk / Control,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
85,WM-XCT-031,Localization / Language,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
86,WM-XCT-032,Currency / Monetary Value,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
87,WM-XCT-033,Geometry / Coordinate Reference,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
88,WM-XCT-034,Digital Signature / Proof,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
89,WM-XCT-036,Alias / Same-as Mapping,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
90,WM-XCT-037,Dependency / Impact,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
91,WM-ACT-007,Work Order,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
92,WM-ACT-014,Health Care Delivery,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
93,WM-ACT-020,Cyber Incident,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
94,WM-ACT-021,Service Case / Ticket,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
95,WM-ACT-023,Public Health / Epidemiology,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
96,WM-BLT-001,Building / Structure,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
97,WM-DAT-002,Official Statistics,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
98,WM-ECO-001,Market / Exchange,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
99,WM-ECO-002,Price / Valuation,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
100,WM-ECO-012,Budget,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
101,WM-FLW-004,Goods Movement / Logistics,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
102,WM-KNW-005,Agent Skill / Instruction,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
103,WM-LIV-001,Taxon,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
104,WM-OBJ-007,Vehicle,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
105,WM-ORG-005,Employment,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
106,WM-ORG-006,Membership,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
107,WM-PER-003,Non-human Agent,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
108,WM-PER-007,Personal Health,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
109,WM-PER-008,Education / Qualification,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
110,WM-PLC-002,Land Parcel,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
111,WM-PLC-004,Administrative Area,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
112,WM-POL-001,Legal Instrument / Norm,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
113,WM-POL-004,Permit / Authorization,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
114,WM-POL-009,Court / Arbitration Case,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
115,WM-POL-011,Tax Obligation / Assessment,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
116,WM-SFT-006,Vulnerability Record,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
117,WM-XCT-006,Verification / ZK Attestation,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
118,WM-XCT-016,Identity Register,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
119,WM-XCT-017,Attestation / Credential,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
120,WM-ACT-026,Appointment / Reservation Event,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
121,WM-ACT-028,Campaign,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
122,WM-ACT-029,Program / Portfolio,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
123,WM-ACT-030,Initiative,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
124,WM-ACT-035,Test Execution,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
125,WM-ACT-036,Research Study,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
126,WM-ACT-038,Learning Activity / Course Delivery,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
127,WM-ACT-039,Recruitment / Hiring Process,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
128,WM-ACT-040,Onboarding / Offboarding,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
129,WM-ACT-043,Business Continuity / Recovery,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
130,WM-ACT-044,Content Publication,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
131,WM-ACT-045,Insurance Claim Handling,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
132,WM-ACT-046,Clinical Observation / Diagnosis,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
133,WM-ACT-047,Medical Procedure,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
134,WM-ACT-048,Medication Order / Administration,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
135,WM-ACT-049,Care Plan / Episode,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
136,WM-ACT-051,Regulatory Compliance Process,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
137,WM-ACT-052,Tax Filing / Assessment Process,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
